common_name,scientific_name,scientific_name_url,species_grp,global_conservation_status_rank,state_conservation_status_rank,federal_legal_status,state_legal_status,statewide_occurrences,virginia_coastal_zone
Glossy Swampsnake,Liodytes rigida,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.105389,REPTILES,G5,S1,None,None,2,Y
Eastern Glass Lizard,Ophisaurus ventralis,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.100802,REPTILES,G5,S1,None,LT,3,Y
Coastal Plain Calcareous Seepage Swamp,"Acer rubrum - Fraxinus pennsylvanica / Packera aurea - Pilea fontana - (Carex bromoides, Bidens laevis) Forest",https://www.dcr.virginia.gov/natural-heritage/natural-communities/ncpc3,TERRESTRIAL NATURAL COMMUNITY,G2,S2,None,None,24,Y
Maritime Swamp Forest (Red Maple - Tupelo Type),"Acer rubrum - Nyssa (biflora, sylvatica) / Morella cerifera / Lorinseria areolata Forest",https://www.dcr.virginia.gov/natural-heritage/natural-communities/ncpe3,TERRESTRIAL NATURAL COMMUNITY,G2,S2,None,None,2,Y
Salt Scrub,Baccharis halimifolia - Iva frutescens / Spartina patens Shrubland,https://www.dcr.virginia.gov/natural-heritage/natural-communities/ncea11,TERRESTRIAL NATURAL COMMUNITY,G5,S4,None,None,1,Y
Coastal Plain Xeric Fluvial Terrace Woodland,Carya pallida / Quercus margarettae / Vaccinium arboreum / Piptochaetium avenaceum Woodland,https://www.dcr.virginia.gov/natural-heritage/natural-communities/nctf1,TERRESTRIAL NATURAL COMMUNITY,G3,S1,None,None,6,N
Coastal Plain Seasonal Buttonbush Pond,Cephalanthus occidentalis - (Decodon verticillatus) / Kellochloa verrucosa - Dulichium arundinaceum - Persicaria hydropiperoides - (Juncus repens) Shrub Herbaceous Vegetation,https://www.dcr.virginia.gov/natural-heritage/natural-communities/ncpc1,TERRESTRIAL NATURAL COMMUNITY,G3?,S2,None,None,5,Y
Coastal Plain / Piedmont Oxbow Shrub Swamp,Cephalanthus occidentalis - Decodon verticillatus Shrubland,https://www.dcr.virginia.gov/natural-heritage/natural-communities/ncpa3,TERRESTRIAL NATURAL COMMUNITY,G4G5,SU,None,None,4,N
Peatland Atlantic White-Cedar Forest,Chamaecyparis thyoides / Persea palustris / Lyonia lucida - Ilex coriacea / Osmundastrum cinnamomeum Forest,https://www.dcr.virginia.gov/natural-heritage/natural-communities/ncpd2,TERRESTRIAL NATURAL COMMUNITY,G2,S1,None,None,2,Y
Coastal Plain Depression Wetland,Coastal Plain Depression Swamp / Pond,https://www.dcr.virginia.gov/natural-heritage/natural-communities/ncpc1,TERRESTRIAL NATURAL COMMUNITY,G2,SNR,None,None,1,Y
Wind-Tidal Oligohaline Marsh (Creeping Spikerush - Bull-Tongue Arrowhead Type),"Eleocharis fallax - Sagittaria lancifolia - Hibiscus moscheutos - (Schoenoplectus americanus, Eleocharis rostellata) Tidal Herbaceous Vegetation",https://www.dcr.virginia.gov/natural-heritage/natural-communities/ncea3,TERRESTRIAL NATURAL COMMUNITY,G1G2,S1,None,None,6,Y
Coastal Plain Seasonal Pond (Narrow Plumegrass Type),"Erianthus strictus - Carex (joorii, glaucescens) - Coleataenia rigidula Herbaceous Vegetation",https://www.dcr.virginia.gov/natural-heritage/natural-communities/ncpc1,TERRESTRIAL NATURAL COMMUNITY,G2G3,SU,None,None,3,Y
Coastal Plain Calcareous Ravine Forest,Fagus grandifolia - Acer floridanum - Quercus muehlenbergii / Sanguinaria canadensis Forest,https://www.dcr.virginia.gov/natural-heritage/natural-communities/nctb2,TERRESTRIAL NATURAL COMMUNITY,G2?,S2,None,None,8,Y
